id,latitude_deg,longitude_deg
04VT,44.40110016,-72.26360321
04W,46.02280045,-92.895401
04WA,47.58179855,-117.4369965
04WI,42.52339935,-88.01670074
04WN,46.963889,-119.641667
04WV,39.65361111,-79.95611111
04XS,32.58209991,-97.14250183
05AK,61.66830063,-149.1880035
05AL,31.23119926,-85.64969635
05AR,36.000633,-93.57025
05AZ,32.68280029,-114.6340027
05B,47.15890121,-67.93199921
05CA,34.13779831,-118.7139969
05CL,38.6106987,-122.3909988
05CO,40.2149839,-104.9844228
05CT,41.77370071,-73.11620331
05FA,30.91889954,-86.21829987
05FD,25.96089935,-80.1391983
05FL,26.5230999,-81.40830231
05GA,32.07139969,-84.71440125
05IA,43.13750076,-93.06829834
05ID,45.91410065,-114.8359985
05II,41.02870178,-84.99720001
05IL,41.15670013,-88.01670074
05IN,39.64199829,-86.5042038
05IS,39.72589874,-89.26399994
05KS,37.26620102,-95.959198
05KY,37.53689957,-84.40720367
05LA,32.26530075,-91.69779968
05LL,41.74890137,-87.93509674
05LS,31.25219917,-92.47579956
05M,34.71969986,-97.21399689
05MA,42.69120026,-70.91230011
05MD,39.25009918,-76.2052002
05ME,44.6570015,-67.55919647
05MO,36.42979813,-89.68009949
05MS,32.31890106,-90.16809845
05NC,34.0080986,-78.29109955
05NE,41.72219849,-98.30899811
05NH,42.9239006,-70.95140076
05NJ,40.7140007,-74.03150177
05NY,43.55199814,-76.09020233
05OI,41.28839874,-81.96260071
05OK,35.85340118,-97.56749725
05OR,45.44150162,-117.3509979
05PA,39.95479965,-75.17819977
05PN,40.30009842,-76.85800171
05PS,40.14279938,-77.86190033
05S,45.85150146,-123.2419968
05TA,29.8090992,-96.26509857
05TE,30.7220993,-97.79139709
05TN,35.55699921,-89.55290222
05TS,33.12929916,-97.3585968
05TX,32.12919998,-97.40419769
05UT,37.03329849,-110.3170013
05V,37.41109848,-105.552002
05VA,37.2242012,-78.41860199
05VT,45.01330185,-73.08670044
05WA,47.64820099,-117.4140015
05WI,42.65110016,-88.74590302
05WN,48.702222,-118.0475
05XS,33.07929993,-91.54319763
05Y,46.30379868,-95.4394989
06AK,61.627619,-149.575331
06AL,31.38839912,-85.97239685
06AR,35.54449844,-92.18489838
